manuscript_section,claim_excerpt,claim_id,evidence_class,source_artifact,source_field,claim_value,source_sha256,verification_status
3. Data and protocol,"Dataset, partition or severe-threshold constant: 2017-02-28",v_2017_02_28,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",2017-02-28,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
9. Locked final-test results,"The severe stratum contains 20,336 locked-test samples under the strictly-greater-than rule.",v_20336,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,20336,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
4. Models,Frozen gradient-boosting contract value: 207,v_207,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,207,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 22.121379,v_22p121379,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,22.121379,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 225.357642,v_225p357642,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,225.357642,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 229.790698,v_229p790698,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,229.790698,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 232,v_232,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,232,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 24",v_24,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",24,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
4. Models,Frozen gradient-boosting contract value: 240,v_240,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,240,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
3. Data and protocol,"The severe threshold is the training pooled P95 of 244.0 ug/m3, a study-internal quantile.",v_244,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",244,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 25.16,v_25p16,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,25.16,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 26.016719,v_26p016719,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,26.016719,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 26.386703,v_26p386703,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,26.386703,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 26.759515,v_26p759515,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,26.759515,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 26.835069,v_26p835069,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,26.835069,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Development-validation table value: 278.8,v_278p8,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,278.8,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 28",v_28,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",28,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
9. Locked final-test results,Locked final-test table value: 28.539839,v_28p539839,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,28.539839,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Multi-seed robustness table value: 29.43,v_29p43,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,29.43,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 3",v_3,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",3,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
15. Reproducibility statement,Reproduction-chain constant: 3.11,v_3p11,C5,artifacts/phase10_reproducibility_ledger.json,Reproduction-chain constant,3.11,e803161e70d992d605c213aaaf6cab9ffebf89b7d9d80042f68b645598a9467c,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 3.39,v_3p39,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,3.39,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 3.394045,v_3p394045,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,3.394045,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
8. Robustness results,Multi-seed robustness table value: 3.6,v_3p6,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,3.6,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 30.11,v_30p11,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,30.11,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 30.47,v_30p47,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,30.47,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 30.54,v_30p54,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,30.54,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 30.69,v_30p69,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,30.69,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 30.76,v_30p76,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,30.76,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 30.91,v_30p91,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,30.91,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 31,v_31,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,31,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
7. Development-validation results,Development-validation table value: 31.53,v_31p53,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,31.53,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 31.55,v_31p55,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,31.55,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 31.84,v_31p84,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,31.84,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 31.98,v_31p98,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,31.98,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Primary confirmatory model B3_R2 achieved a macro station-horizon MAE of 31.98722559774534 on the locked final test.,v_31p98722559774534,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,31.98722559774534,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 31.99,v_31p99,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,31.99,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 3120,v_3120,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,3120,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 32,v_32,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,32,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
7. Development-validation results,Development-validation table value: 32.24,v_32p24,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,32.24,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 32.48,v_32p48,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,32.48,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 32.52,v_32p52,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,32.52,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 32.72,v_32p72,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,32.72,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 33.07,v_33p07,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,33.07,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 33.08,v_33p08,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,33.08,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
7. Development-validation results,Development-validation table value: 33.13,v_33p13,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,33.13,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 34.08,v_34p08,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,34.08,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
8. Robustness results,Multi-seed robustness table value: 34.79,v_34p79,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,34.79,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 35,v_35,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,35,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
8. Robustness results,Multi-seed robustness table value: 35.16,v_35p16,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,35.16,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Multi-seed robustness table value: 35.2,v_35p2,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,35.2,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 35.738812,v_35p738812,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,35.738812,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
9. Locked final-test results,Locked final-test table value: 36.13,v_36p13,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,36.13,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Causal persistence reference benchmark B0 recorded a macro station-horizon MAE of 36.138513538776856 on the locked final test.,v_36p138513538776856,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,36.138513538776856,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 36.14,v_36p14,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,36.14,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 4",v_4,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",4,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
15. Reproducibility statement,Reproduction-chain constant: 4.7,v_4p7,C5,artifacts/phase10_reproducibility_ledger.json,Reproduction-chain constant,4.7,e803161e70d992d605c213aaaf6cab9ffebf89b7d9d80042f68b645598a9467c,VERIFIED
7. Development-validation results,Development-validation table value: 40.62,v_40p62,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,40.62,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
4. Models,Frozen gradient-boosting contract value: 400,v_400,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,400,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
4. Models,Frozen gradient-boosting contract value: 405,v_405,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,405,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 41.545912,v_41p545912,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,41.545912,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
4. Models,Training-only internal selection split: 410488,v_410488,C5,artifacts/phase4_internal_split.json,Training-only internal selection split,410488,886392331a5520a8df0a6aa863b49e0eda6862912347fe4c4a6947329dd431ed,VERIFIED
4. Models,Training-only internal selection split: 410696,v_410696,C5,artifacts/phase4_internal_split.json,Training-only internal selection split,410696,886392331a5520a8df0a6aa863b49e0eda6862912347fe4c4a6947329dd431ed,VERIFIED
3. Data and protocol,"The locked final test comprises 411,012 eligible samples.",v_411012,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",411012,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 413148",v_413148,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",413148,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
14. Conclusion,Canonical locked-result value: 42,v_42,C1,artifacts/phase10_canonical_conclusion.json,Canonical locked-result value,42,ca0a070272d763779a6cd6bc12e4a9516d52d0521042b95146b05b0b97ea01b3,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 420768",v_420768,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",420768,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 46,v_46,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,46,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 47,v_47,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,47,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 48",v_48,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",48,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 49,v_49,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,49,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 5",v_5,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",5,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 50,v_50,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,50,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 501",v_501,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",501,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
7. Development-validation results,Development-validation table value: 51.21,v_51p21,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,51.21,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 51.28,v_51p28,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,51.28,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
3. Data and protocol,Severe-boundary exclusion count: 512,v_512,C1,artifacts/phase8_postopening_validation_receipt.json,Severe-boundary exclusion count,512,6e7de4c8e45944aafe03b3fea318df1eb8b01aad1cc4eccecc3bbf26f70b7c4f,VERIFIED
9. Locked final-test results,Locked final-test table value: 52.38,v_52p38,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,52.38,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 52.876573,v_52p876573,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,52.876573,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
9. Locked final-test results,Locked final-test table value: 53,v_53,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,53,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 56.01053,v_56p01053,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,56.01053,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Development-validation table value: 56.73,v_56p73,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,56.73,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 58.47,v_58p47,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,58.47,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 586,v_586,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,586,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 6",v_6,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",6,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 6.23,v_6p23,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,6.23,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 61",v_61,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",61,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
8. Robustness results,Attention-distance diagnostic: 63,v_63,C2,artifacts/phase7_spatial_analysis.json,Attention-distance diagnostic,63,a98f9546d4868fb8bc255d0f40cafa67b5fe82e7feec5f396941382b112b327c,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 64,v_64,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,64,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
9. Locked final-test results,Locked final-test table value: 65.549321,v_65p549321,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,65.549321,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
9. Locked final-test results,Locked final-test table value: 65.55,v_65p55,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,65.55,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 7",v_7,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",7,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
8. Robustness results,Multi-seed robustness table value: 7.4,v_7p4,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,7.4,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Multi-seed robustness table value: 7.44,v_7p44,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,7.44,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
7. Development-validation results,Development-validation table value: 71.62,v_71p62,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,71.62,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 72.59,v_72p59,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,72.59,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
3. Data and protocol,Information-regime or causality-enforcement constant: 8,v_8,C5,artifacts/phase10_information_regime_ledger.json,Information-regime or causality-enforcement constant,8,6da508c559ba01446237af1d5fdc7c4cb094b4d446693c9ea33616345177bdb0,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 821184",v_821184,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",821184,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 835,v_835,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,835,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Development-validation table value: 84.03,v_84p03,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,84.03,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 85.464201,v_85p464201,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,85.464201,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
7. Development-validation results,Development-validation table value: 85.88,v_85p88,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,85.88,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 88.04,v_88p04,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,88.04,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 88.29,v_88p29,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,88.29,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
7. Development-validation results,Development-validation table value: 88.51,v_88p51,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,88.51,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 88.6,v_88p6,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,88.6,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
7. Development-validation results,Development-validation table value: 89.19,v_89p19,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,89.19,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 9.09,v_9p09,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,9.09,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 9.47,v_9p47,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,9.47,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 90,v_90,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,90,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
7. Development-validation results,Development-validation table value: 92.01,v_92p01,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,92.01,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Frozen confirmatory endpoint: 93.22,v_93p22,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,93.22,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
9. Locked final-test results,The reference benchmark B0 recorded the lowest severe MAE of the three evaluated models at 93.22447875688434.,v_93p22447875688434,C1,artifacts/phase8_primary_results_lock.json,Frozen confirmatory endpoint,93.22447875688434,5c92451317f8348dbac978a23bd11246aee89355746d270efcc599c780027b5e,VERIFIED
7. Development-validation results,Development-validation table value: 93.56,v_93p56,C2,artifacts/phase10_table_development_models.csv,Development-validation table value,93.56,387417f6d6ef4652a48d4e6aaacd11d079815cb0822ee1479aa651c367d8f273,VERIFIED
9. Locked final-test results,Locked final-test table value: 93.73,v_93p73,C1,artifacts/phase10_table_locked_test.csv,Locked final-test table value,93.73,49d8444423279549fcaef49f97e178d4eac2918cfacf56030bfe68eae80de7b1,VERIFIED
3. Data and protocol,"Dataset, partition or severe-threshold constant: 95",v_95,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",95,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
